id_rec,file,group,sum.np,lat.c,num.c,num.cs,num.css,sum.c,mean.c,occ.pd,num.pd,sum.pd,mean.pd,rate.pd,occ.e1,lat.e1,lat.e1p,num.e1,sum.e1,mean.e1,max.e1,prop.e1,occ.sing.e1,sing.e1,num.e1f,num.e1m,num.e1l,sum.e1f,sum.e1m,sum.e1l,prop.e1f,prop.e1m,prop.e1l,occ.e2,occ.e2s,lat.e2,lat.e2p,lat.e2s,lat.e2sp,num.e2,num.e2s,sum.e2,sum.e2s,mean.e2,mean.e2t,mean.e2s,mean.e2st,max.e2,occ.f,num.f,sum.f,mean.f,occ.g,num.g,sum.g,mean.g,occ.w11,lat.w11p,num.w11,sum.w11,mean.w11,occ.w12,lat.w12p,num.w12,sum.w12,mean.w12
1,C:\RProjects\stressbiome\epg_data\Raw_data\Riv_SA/8_syst3_psfRivera-ch4_.ANA,Riv_SA,103.087,0.080666667,18,3,1,162.293,9.016277778,0,NA,NA,NA,NA,1,43.12783333,43.04716667,13,12.4125,0.954807692,2.511833333,3.124126363,1,3,3,6,1,2.8285,3.669,0.2075,1.317910726,1.709533128,0.096682509,1,1,113.772,113.6913333,118.0856667,118.005,9,4,202.2075,191.481,22.4675,22.87516667,47.87025,48.7875,78.44483333,0,0,0,NA,0,0,0,NA,0,479.9193333,0,0,NA,0,479.9193333,0,0,NA
2,C:\RProjects\stressbiome\epg_data\Raw_data\Riv_SA/8_syst1_psfRivera-ch1_.ANA,Riv_SA,50.29266667,1.182833333,29,8,4,415.3935,14.32391379,0,NA,NA,NA,NA,1,11.81383333,10.631,9,10.57883333,1.175425926,2.300833333,38.29512243,1,4,3,0,2,4.3185,0,1.163,30.17011516,0,8.125007277,1,0,46.876,45.69316667,480,478.8171667,3,0,3.735,0,1.245,1.245,NA,NA,1.3655,0,0,0,NA,0,0,0,NA,0,478.8171667,0,0,NA,0,478.8171667,0,0,NA
3,C:\RProjects\stressbiome\epg_data\Raw_data\Riv_SA/7_syst3_psfRivera-ch4_.ANA,Riv_SA,72.47933333,65.83333333,10,2,1,120.5381667,12.05381667,0,NA,NA,NA,NA,1,178.3221667,112.4888333,7,7.785833333,1.112261905,4.073,3.259446044,0,0,4,1,2,3.19,0.061666667,4.534166667,1.335455363,0.025816013,1.898174668,1,1,179.2053333,113.372,179.2053333,113.372,5,4,231.084,228.8005,46.2168,46.22913333,57.200125,57.21554167,142.7536667,1,2,48.11266667,24.05633333,0,0,0,NA,0,414.1666667,0,0,NA,0,414.1666667,0,0,NA
4,C:\RProjects\stressbiome\epg_data\Raw_data\Riv_SA/7_syst1_psfRivera-ch7_.ANA,Riv_SA,9.556166667,0.359666667,14,2,1,248.6361667,17.75972619,0,NA,NA,NA,NA,1,162.044,161.6843333,10,6.802,0.6802,1.913333333,3.231865217,1,1,3,4,2,3.375,1.736666667,0.552333333,1.925767145,0.990937958,0.315160114,1,1,162.6545,162.2948333,162.6545,162.2948333,7,2,168.4528333,167.1098333,24.06469048,24.31278571,83.55491667,84.42325,140.4388333,0,0,0,NA,1,1,46.55283333,46.55283333,0,479.6403333,0,0,NA,0,479.6403333,0,0,NA
5,C:\RProjects\stressbiome\epg_data\Raw_data\Riv_SA/7_syst1_psfRivera-ch1_.ANA,Riv_SA,65.94716667,0.48,96,57,39,383.8013333,3.997930556,0,NA,NA,NA,NA,1,121.861,121.381,16,14.57983333,0.911239583,2.3555,15.8763089,1,7,4,1,4,2.535666667,0.185,1.3225,9.956806283,0.726439791,5.193062827,1,0,122.3636667,121.8836667,480,479.52,5,0,10.88683333,0,2.177366667,2.214366667,NA,Inf,5.2265,0,0,0,NA,1,1,4.784833333,4.784833333,0,479.52,0,0,NA,0,479.52,0,0,NA
6,C:\RProjects\stressbiome\epg_data\Raw_data\Riv_SA/6_syst3_psfRivera-ch5_.ANA,Riv_SA,15.604,7.976166667,15,6,4,181.0205,12.06803333,0,NA,NA,NA,NA,1,22.94083333,14.96466667,15,30.49483333,2.032988889,19.332,10.10661355,1,1,4,7,3,3.440166667,23.872,1.3275,1.213995799,8.424158052,0.468459694,1,1,27.4015,19.42533333,88.86566667,80.8895,11,4,252.8806667,232.6726667,22.98915152,25.15933333,58.16816667,64.13616667,71.52683333,0,0,0,NA,0,0,0,NA,0,472.0238333,0,0,NA,0,472.0238333,0,0,NA
7,C:\RProjects\stressbiome\epg_data\Raw_data\Riv_SA/6_syst1_psfRivera-ch1_.ANA,Riv_SA,85.18833333,4.436333333,62,37,10,311.554,5.025064516,0,NA,NA,NA,NA,1,14.366,9.929666667,18,13.98066667,0.776703704,1.891833333,9.388524781,1,5,6,3,4,5.473166667,1.067833333,1.275666667,6.573768982,1.282564569,1.53219123,1,1,115.2646667,110.8283333,208.2441667,203.8078333,9,1,69.277,47.94716667,7.697444444,7.816092593,47.94716667,49.015,47.94716667,0,0,0,NA,0,0,0,NA,0,475.5636667,0,0,NA,0,475.5636667,0,0,NA
8,C:\RProjects\stressbiome\epg_data\Raw_data\Riv_SA/5_syst3_psfRivera-ch8_.ANA,Riv_SA,24.553,11.29533333,21,6,2,294.4736667,14.02255556,0,NA,NA,NA,NA,1,35.421,24.12566667,15,17.12516667,1.141677778,5.411333333,9.390996438,1,2,5,5,3,3.678333333,10.50016667,0.9385,2.285057566,6.522923051,0.58301582,1,1,35.91766667,24.62233333,53.43416667,42.13883333,10,2,143.8481667,116.526,14.38481667,15.43483333,58.263,63.51308333,96.88166667,0,0,0,NA,0,0,0,NA,0,468.7046667,0,0,NA,0,468.7046667,0,0,NA
9,C:\RProjects\stressbiome\epg_data\Raw_data\Riv_SA/5_syst1_psfRivera-ch8_.ANA,Riv_SA,45.4795,1.363,71,47,31,294.466,4.147408451,0,NA,NA,NA,NA,1,253.4516667,252.0886667,4,9.495833333,2.373958333,4.687,0,1,4,0,0,0,0,0,0,0,0,0,0,0,480,478.637,480,478.637,0,0,0,0,NA,NA,NA,NA,NA,1,1,101.8278333,101.8278333,1,1,28.73083333,28.73083333,0,478.637,0,0,NA,0,478.637,0,0,NA
10,C:\RProjects\stressbiome\epg_data\Raw_data\Riv_SA/5_syst1_psfRivera-ch1_.ANA,Riv_SA,48.6755,12.51016667,58,31,11,358.696,6.184413793,0,NA,NA,NA,NA,1,75.87366667,63.3635,27,23.8955,0.885018519,3.279,15.5180129,1,7,10,0,10,7.223666667,0,4.046833333,9.946049645,0,5.571963256,1,1,108.9626667,96.4525,357.3898333,344.8796667,10,1,48.733,21.515,4.8733,4.8733,21.515,21.515,21.515,0,0,0,NA,0,0,0,NA,0,467.4898333,0,0,NA,0,467.4898333,0,0,NA
